134317819,  -0.080,   0.069,   0.053,  -4.189,  -0.560,   8.776
134339438,  -0.013,   0.070,   0.025,  -4.204,  -0.716,   8.844
134358653,   0.026,   0.072,   0.013,  -4.330,  -0.885,   8.877
134377871,   0.047,   0.087,   0.004,  -4.306,  -0.828,   8.909
134399488,   0.084,   0.111,   0.010,  -4.397,  -0.767,   8.874
134418705,   0.100,   0.121,   0.010,  -4.382,  -0.539,   8.744
134437921,   0.105,   0.126,   0.005,  -4.476,  -0.496,   8.768
134459539,   0.110,   0.135,   0.001,  -4.508,  -0.456,   8.713
134478755,   0.103,   0.143,   0.000,  -4.501,  -0.518,   8.664
134497970,   0.095,   0.140,   0.001,  -4.467,  -0.557,   8.636
134519590,   0.075,   0.126,   0.005,  -4.451,  -0.533,   8.623
134538806,   0.044,   0.111,   0.000,  -4.514,  -0.426,   8.661
134558021,   0.028,   0.100,   0.001,  -4.549,  -0.344,   8.601
134579641,   0.017,   0.071,  -0.003,  -4.638,  -0.266,   8.439
134598857,   0.016,   0.032,  -0.013,  -4.688,  -0.305,   8.350
134618072,   0.017,   0.004,  -0.030,  -4.663,  -0.377,   8.390
134639692,   0.025,  -0.011,  -0.049,  -4.625,  -0.506,   8.497
134658907,   0.040,  -0.027,  -0.059,  -4.615,  -0.552,   8.570
134678123,   0.060,  -0.044,  -0.062,  -4.608,  -0.514,   8.639
134699742,   0.075,  -0.046,  -0.065,  -4.579,  -0.473,   8.645
134718959,   0.083,  -0.040,  -0.065,  -4.595,  -0.451,   8.611
134738174,   0.083,  -0.048,  -0.070,  -4.656,  -0.385,   8.578
134757390,   0.082,  -0.061,  -0.076,  -4.671,  -0.378,   8.551
134779008,   0.077,  -0.068,  -0.084,  -4.626,  -0.400,   8.513
134798224,   0.074,  -0.071,  -0.083,  -4.603,  -0.463,   8.536
134817441,   0.069,  -0.094,  -0.075,  -4.574,  -0.528,   8.513
134839060,   0.066,  -0.133,  -0.051,  -4.540,  -0.585,   8.500
134858275,   0.059,  -0.163,  -0.031,  -4.542,  -0.559,   8.512
134877491,   0.042,  -0.184,  -0.015,  -4.508,  -0.455,   8.524
134899111,   0.020,  -0.207,  -0.007,  -4.425,  -0.394,   8.600
134918326,   0.007,  -0.223,  -0.004,  -4.374,  -0.363,   8.665
134937542,   0.005,  -0.225,  -0.002,  -4.338,  -0.328,   8.781
134959161,   0.027,  -0.182,   0.005,  -4.256,  -0.552,   9.498
134978377,   0.040,  -0.115,   0.028,  -4.116,  -0.844,   8.975
134997593,   0.067,  -0.096,   0.021,  -4.139,  -0.225,   9.032
135019211,   0.059,  -0.051,   0.005,  -4.089,  -0.473,   9.182
135038427,   0.081,  -0.011,   0.010,  -4.043,  -0.326,   9.084
135057643,   0.046,   0.000,   0.013,  -3.919,  -0.217,   9.041
135079263,   0.013,  -0.001,   0.015,  -3.958,  -0.189,   8.914
135098479,   0.005,  -0.003,   0.013,  -3.967,  -0.123,   8.934
135117695,  -0.001,  -0.010,   0.004,  -3.991,  -0.213,   8.914
135139313,   0.002,  -0.019,  -0.007,  -4.058,  -0.305,   8.941
135158528,   0.004,  -0.023,  -0.017,  -4.125,  -0.411,   8.927
135177746,   0.018,  -0.007,  -0.011,  -4.237,  -0.405,   8.885
135199364,   0.025,   0.000,   0.002,  -4.353,  -0.317,   8.782
135218580,   0.016,  -0.015,   0.006,  -4.508,  -0.308,   8.731
135237795,   0.014,  -0.018,   0.006,  -4.508,  -0.312,   8.684
135259414,   0.022,  -0.014,   0.003,  -4.450,  -0.365,   8.637
135278630,   0.020,  -0.020,   0.000,  -4.421,  -0.429,   8.652
135297846,   0.026,  -0.037,  -0.003,  -4.334,  -0.369,   8.714
135319464,   0.039,  -0.050,  -0.009,  -4.247,  -0.299,   8.788
135338681,   0.047,  -0.045,  -0.006,  -4.189,  -0.233,   8.831
135357897,   0.033,  -0.047,  -0.005,  -4.184,  -0.231,   8.871
135379515,   0.029,  -0.044,  -0.011,  -4.206,  -0.180,   8.907
135398731,   0.016,  -0.037,  -0.020,  -4.172,  -0.198,   8.903
135417947,   0.010,  -0.016,  -0.026,  -4.149,  -0.202,   8.926
135439566,   0.009,   0.001,  -0.030,  -4.155,  -0.257,   8.937
135458782,  -0.001,  -0.009,  -0.028,  -4.130,  -0.304,   8.872
135480401,   0.001,  -0.019,  -0.020,  -4.110,  -0.377,   8.823
135499617,   0.014,  -0.019,  -0.010,  -4.094,  -0.353,   8.853
135518834,   0.015,  -0.018,  -0.004,  -4.116,  -0.321,   8.872
135540451,   0.012,  -0.023,  -0.007,  -4.133,  -0.290,   8.947
135559667,   0.015,  -0.021,  -0.005,  -4.153,  -0.279,   8.924
135578883,   0.012,  -0.007,  -0.005,  -4.184,  -0.232,   8.850
135600502,   0.002,  -0.002,  -0.013,  -4.212,  -0.194,   8.811
135619719,   0.000,  -0.011,  -0.025,  -4.269,  -0.148,   8.859
135638934,  -0.006,  -0.005,  -0.042,  -4.287,  -0.110,   8.876
135660553,  -0.011,   0.013,  -0.063,  -4.268,  -0.190,   8.862
135679769,   0.002,   0.020,  -0.067,  -4.222,  -0.298,   8.825
135698985,   0.014,   0.006,  -0.066,  -4.218,  -0.366,   8.755
135720604,   0.020,  -0.014,  -0.064,  -4.241,  -0.408,   8.712
135739819,   0.035,  -0.013,  -0.063,  -4.279,  -0.383,   8.757
135759035,   0.044,  -0.013,  -0.059,  -4.269,  -0.417,   8.769
135780655,   0.036,  -0.033,  -0.046,  -4.262,  -0.425,   8.765
135799870,   0.022,  -0.043,  -0.032,  -4.204,  -0.403,   8.868
135819087,   0.005,  -0.018,  -0.026,  -4.188,  -0.316,   9.012
135840705,  -0.002,   0.006,  -0.029,  -4.148,  -0.247,   8.946
135859921,  -0.009,  -0.001,  -0.036,  -4.098,  -0.239,   8.824
135879137,  -0.001,  -0.021,  -0.042,  -4.118,  -0.285,   8.764
135900756,   0.028,  -0.028,  -0.036,  -4.140,  -0.371,   8.810
